"195",6525,"Réceptionnistes d'hôtel"
"196",6531,"Guides touristiques et guides itinérants/guides itinérantes"
"197",6532,"Guides d'activités récréatives et sportives de plein air"
"198",6533,"Personnel préposé au jeu dans les casinos"
"199",6541,"Agents/agentes de sécurité et personnel assimilé des services de sécurité"
"200",6552,"Autres préposés/autres préposées aux services d'information et aux services à la clientèle"
"201",6561,"Conseillers/conseillères imagistes, conseillers mondains/conseillères mondaines et autres conseillers/conseillères en soins personnalisés"
"202",6562,"Esthéticiens/esthéticiennes, électrolystes et personnel assimilé"
"203",6564,"Autre personnel de services personnalisés"
"204",6611,"Caissiers/caissières"
"205",6621,"Préposés/préposées de stations-service"
"206",6623,"Autre personnel assimilé des ventes"
"207",6711,"Serveurs/serveuses au comptoir, aides de cuisine et personnel de soutien assimilé"
"208",6721,"Personnel de soutien en services d'hébergement, de voyage et en services de montage d'installation"
"209",6722,"Opérateurs/opératrices et préposés/préposées aux sports, aux loisirs et dans les parcs d'attractions"
"210",6731,"Préposés/préposées à l'entretien ménager et au nettoyage – travaux légers"
"211",6732,"Nettoyeurs spécialisés/nettoyeuses spécialisées"
"212",6733,"Concierges et surintendants/surintendantes d'immeubles"
"213",6741,"Personnel de blanchisseries et d'établissements de nettoyage à sec et personnel assimilé"
"214",6742,"Autre personnel de soutien en service, n.c.a."
"215",7201,"Entrepreneurs/entrepreneuses et contremaîtres/contremaîtresses des machinistes et du personnel des métiers du formage, du profilage et du montage des métaux et personnel assimilé"
"216",7203,"Entrepreneurs/entrepreneuses et contremaîtres/contremaîtresses en tuyauterie"
"217",7204,"Entrepreneurs/entrepreneuses et contremaîtres/contremaîtresses en charpenterie"
"218",7231,"Machinistes et vérificateurs/vérificatrices d'usinage et d'outillage"
"219",7232,"Outilleurs-ajusteurs/outilleuses-ajusteuses"
"220",7233,"Tôliers/tôlières"
"221",7235,"Assembleurs/assembleuses et ajusteurs/ajusteuses de plaques et de charpentes métalliques"
"222",7237,"Soudeurs/soudeuses et opérateurs/opératrices de machines à souder et à braser"
"223",7245,"Monteurs/monteuses de lignes et de câbles de télécommunications"
"224",7246,"Installateurs/installatrices et réparateurs/réparatrices de matériel de télécommunications"
"225",7247,"Techniciens/techniciennes en montage et en entretien d'installations de câblodistribution"
"226",7252,"Tuyauteurs/tuyauteuses, monteurs/monteuses d'appareils de chauffage et poseurs/poseuses de gicleurs"
"227",7284,"Plâtriers/plâtrières, poseurs/poseuses et finisseurs/finisseuses de systèmes intérieurs et latteurs/latteuses"
"228",7291,"Couvreurs/couvreuses et poseurs/poseuses de bardeaux"
"229",7311,"Mécaniciens/mécaniciennes de chantier et mécaniciens industriels/mécaniciennes industrielles"
"230",7312,"Mécaniciens/mécaniciennes d'équipement lourd"
"231",7313,"Mécaniciens/mécaniciennes en chauffage, réfrigération et climatisation"
"232",7314,"Réparateurs/réparatrices de wagons"
"233",7315,"Mécaniciens/mécaniciennes et contrôleurs/contrôleuses d'aéronefs"
"234",7321,"Mécaniciens/mécaniciennes et réparateurs/réparatrices de véhicules automobiles, de camions et d'autobus"
"235",7322,"Débosseleurs/débosseleuses et réparateurs/réparatrices de carrosserie"
"236",7331,"Installateurs/installatrices de brûleurs à l'huile et à combustibles solides"
"237",7332,"Réparateurs/réparatrices et préposés/préposées à l'entretien d'appareils"
"238",7333,"Électromécaniciens/électromécaniciennes"
"239",7334,"Mécaniciens/mécaniciennes de motocyclettes, de véhicules tout-terrain et personnel mécanicien assimilé"
"240",7335,"Autres réparateurs/réparatrices de petits moteurs et de petits équipements"
"241",7361,"Mécaniciens/mécaniciennes de locomotive et de cour de triage"
"242",7362,"Chefs de train et serre-freins"
"243",7371,"Grutiers/grutières"
"244",7372,"Foreurs/foreuses et dynamiteurs/dynamiteuses de mines à ciel ouvert, de carrières et de chantiers de construction"
"245",7373,"Foreurs/foreuses de puits d'eau"
"246",7384,"Autre personnel des métiers et personnel assimilé, n.c.a."
"247",7442,"Personnel d'entretien des canalisations d'eau et de gaz"
"248",7452,"Manutentionnaires"
"249",7511,"Conducteurs/conductrices de camions de transport"
"250",7512,"Conducteurs/conductrices d'autobus et opérateurs/opératrices de métro et autres transports en commun"
"251",7513,"Chauffeurs/chauffeuses de taxi, chauffeurs/chauffeuses de limousine et chauffeurs/chauffeuses"
"252",7521,"Conducteurs/conductrices d'équipement lourd (sauf les grues)"
"253",7522,"Conducteurs/conductrices de machinerie d'entretien public et personnel assimilé"
"254",7532,"Matelots de pont et matelots de salle des machines du transport par voies navigables"
"255",7533,"Opérateurs/opératrices de bateau à moteur, de bac à câble et personnel assimilé"
"256",7622,"Manoeuvres dans le transport ferroviaire et routier"
"257",8232,"Foreurs/foreuses et personnel de mise à l'essai et des autres services reliés à l'extraction de pétrole et de gaz"
"258",8241,"Conducteurs/conductrices de machines d'abattage d'arbres"
"259",8252,"Entrepreneurs/entrepreneuses de services agricoles, surveillants/surveillantes d'exploitations agricoles et ouvriers spécialisés/ouvrières spécialisées dans l'élevage"
"260",8261,"Capitaines et officiers/officières de bateaux de pêche"
"261",8262,"Pêcheurs indépendants/pêcheuses indépendantes"
"262",8412,"Personnel du forage et de l'entretien des puits de pétrole et de gaz et personnel assimilé"
"263",8421,"Opérateurs/opératrices de scies à chaîne et d'engins de débardage"
"264",8431,"Ouvriers/ouvrières agricoles"
"265",8432,"Ouvriers/ouvrières de pépinières et de serres"
"266",8441,"Matelots de pont sur les bateaux de pêche"
"267",8442,"Trappeurs/trappeuses et chasseurs/chasseuses"
"268",8611,"Manoeuvres à la récolte"
"269",8612,"Manoeuvres en aménagement paysager et en entretien des terrains"
"270",8613,"Manoeuvres de l'aquaculture et de la mariculture"
"271",8614,"Manoeuvres des mines"
"272",8616,"Manoeuvres de l'exploitation forestière"
"273",9211,"Surveillants/surveillantes dans la transformation des métaux et des minerais"
"274",9212,"Surveillants/surveillantes dans le raffinage du pétrole, dans le traitement du gaz et des produits chimiques et dans les services d'utilité publique"
"275",9213,"Surveillants/surveillantes dans la transformation des aliments et des boissons"
"276",9215,"Surveillants/surveillantes dans la transformation des produits forestiers"
"277",9222,"Surveillants/surveillantes dans la fabrication de matériel électronique"
"278",9232,"Opérateurs/opératrices de salle de commande centrale et de conduite de procédés industriels dans le raffinage du pétrole et le traitement du gaz et des produits chimiques"
"279",9241,"Mécaniciens/mécaniciennes de centrales et opérateurs/opératrices de réseaux électriques"
